Station,Occurrences,Latitude,Longitude
LaSalle St & Illinois St,24674,41.89086366666667,-87.63194466666667
Troy St & Grace St,1285,41.95,-87.71
Public Rack - Indiana Ave & 111th St,4,41.69,-87.62
Public Rack - Hamilton Ave & 95th St,16,41.72,-87.68
Public Rack - Nagle Ave & Belmont Ave,116,41.94,-87.79
Milwaukee Ave & Rockwell St,4965,41.92019556200566,-87.69265919923781
Albany Ave & Belmont Ave,633,41.94,-87.71
Normal Ave & Archer Ave,998,41.849527,-87.640591
Budlong Woods Library,1066,41.98366470886,-87.6964225611
Prospect Sq & 91st St,201,41.728234,-87.667524
Public Rack - Komensky Ave & 26th St,18,41.84,-87.73
May St & 69th St,372,41.768961668,-87.65293324
University Ave & 57th St,27900,41.791478,-87.599861
Loomis St & Lexington St,24016,41.87222873224032,-87.66136385500431
Broadway & Granville Ave,7720,41.994779333333334,-87.660212
Public Rack - Bell Ave & 95th St,9,41.72,-87.68
Public Rack - Kedzie Ave & 61st Pl E,28,41.78,-87.7
Kedzie Ave & Foster Ave,1369,41.975672,-87.709261
Clinton St & Jackson Blvd,20335,41.878279686,-87.641100645
Cityfront Plaza Dr & Pioneer Ct,12284,41.89038883333333,-87.62197433333333
Elston Ave & Cortland St,9481,41.916440845,-87.666790485
Larrabee St & Oak St,8094,41.90021949323,-87.6429854676
Fairbanks St & Superior St,8119,41.895748,-87.620104
